ID,Accuracy,Bearing_delta,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,Speed,missing_rng
0,4.0,24.884408331609894,840.0,881.0,762.0,0.8309086569497034,1.0796548269819386,1.1046989275569346,9.004786861412311,588.0
1,3.4739999999999998,9.901821624279073,739.0,105.0,537.0,0.25190337,1.14902007,0.35639624,8.019369012935558,198.0
2,3.0,40.14916216303215,58.0,9.0,69.0,0.43737950000000003,0.8936958300000002,0.38179076,3.157212963846153,632.0
4,10.0,18.359159172995355,921.0,957.0,908.0,0.8592390983098572,1.1591584413201828,0.8534086397353469,6.1509963491934965,2.0
6,4.05,18.63629685424008,210.0,181.0,306.0,0.61575216,1.15392441,0.71287977,4.628921496575343,1.0
7,3.0,18.2957174125297,73.0,250.0,419.0,1.33919023,0.95062953,1.3856220499999998,12.176386036670197,12.0
8,5.059,27.750183990754447,370.0,55.0,70.0,0.56448364,0.74749756,0.15820312400000006,5.384259740259738,79.0
10,4.996,26.617731093263565,54.0,102.0,298.0,0.53796387,0.92955017,0.39413451,8.702026666666663,1.0
11,3.0,24.22229432178991,59.0,27.0,68.0,1.15881139,1.01098201,0.53267449,6.659023643822224,76.0
14,32.0,10.382653239772019,428.0,578.0,222.0,1.4403509681772897,0.9619353836332748,0.7107771886017551,4.74459680523661,3.0
16,3.0,27.673603618599234,25.0,50.0,249.0,0.56016344,1.04213607,0.65118236,6.149117647058821,15.0
17,3.0,29.16750359853142,11.0,194.0,376.0,1.3121386,1.22906088,0.5705481299999999,12.930346366706278,10.0
18,10.0,17.079345161905152,303.0,1016.0,130.0,0.9291380221767312,1.3379127431635005,0.4630430197837501,4.738115941124838,1.0
21,4.0,30.282262609629196,132.0,135.0,104.0,0.38973203,0.94684112,0.71226886,5.597573719634408,1.0
25,3.0,18.367207298956455,300.0,27.0,125.0,4.15315046,4.367895799999999,1.00297088,6.171016600961541,380.0
26,3.0,11.177863797858805,672.0,50.0,555.0,1.14720493,0.97677353,1.56931287,6.724178937941173,28.0
27,10.0,12.666104258598702,440.0,299.0,561.0,1.16832874,1.4719291,0.40746366,15.920164609053495,1.0
28,4.0,13.122974291552675,344.0,40.0,200.0,0.7935139600000001,1.1044444,0.53572883,7.928199670562113,1.0
29,4.551,41.34710687268545,578.0,76.0,631.0,0.5162201,1.25422669,0.236053466,7.133179487179484,1.0
30,4.551,16.218176808406003,46.0,26.0,48.0,0.41999817,0.9920807,0.3311615,4.604798206278028,3.0
32,3.2310000000000003,20.611402051170664,1403.0,111.0,177.0,2.3145684,2.7128526,2.78859984,4.867155822050621,2.0
33,3.9,7.052209963309717,1190.0,555.0,420.0,1.0120087,0.90611357,0.58406113,6.4966062902276525,1.0
34,3.0,25.4739734782414,142.0,154.0,345.0,1.8460870999999999,2.6924844999999995,3.0480779,9.403487097447798,64.0
35,5.4,12.94818537774901,918.0,242.0,907.0,6.5187772000000015,3.6241224,4.539317400000002,16.619441069009017,1.0
36,3.9,15.256735559391165,443.0,130.0,114.0,0.57910021,0.84727006,0.41905355,4.157279641939397,1.0
